date,user_submitted_review,title,total_purchased,customer_type
2019-05-22,it was okay,Secrets Of R For Advanced Students,7,Business
2019-11-16,Awesome!,R For Dummies,3,Business
2019-06-27,Awesome!,R For Dummies,1,Individual
2019-11-06,Awesome!,Fundamentals of R For Beginners,3,Individual
2019-07-18,Hated it,Fundamentals of R For Beginners,,Business
2019-01-28,Never read a better book,Secrets Of R For Advanced Students,1,Business
2019-02-20,Hated it,R For Dummies,5,Business
2019-12-17,Awesome!,R For Dummies,,Business
2019-07-13,OK,R vs Python: An Essay,7,Business
2019-06-22,The author's other books were better,R For Dummies,1,Business
2019-03-14,A lot of material was not needed,R For Dummies,7,Business
2019-12-19,A lot of material was not needed,R For Dummies,,Business
2019-03-14,Awesome!,Fundamentals of R For Beginners,3,Business
2019-09-23,Awesome!,R For Dummies,2,Business
2019-08-21,,R For Dummies,0,Business
2019-01-17,it was okay,R For Dummies,6,Business
2019-04-08,Would not recommend,R For Dummies,3,Business
2019-07-21,I learned a lot,R For Dummies,2,Individual
2019-12-12,Would not recommend,Fundamentals of R For Beginners,,Business
2019-03-14,it was okay,R For Dummies,4,Business
2019-11-11,NA,R For Dummies,3,Business
2019-09-10,Would not recommend,R For Dummies,4,Individual
2019-06-20,it was okay,R For Dummies,3,Individual
2019-07-29,Never read a better book,Secrets Of R For Advanced Students,6,Individual
2019-05-11,it was okay,Secrets Of R For Advanced Students,4,Individual
2019-11-02,,Fundamentals of R For Beginners,3,Individual
2019-02-22,Hated it,Fundamentals of R For Beginners,1,Business
2019-12-17,Would not recommend,R For Dummies,4,Business
2019-07-26,A lot of material was not needed,Secrets Of R For Advanced Students,4,Individual
2019-08-26,Never read a better book,Fundamentals of R For Beginners,5,Business
2019-08-07,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
2019-10-13,Awesome!,Top 10 Mistakes R Beginners Make,3,Business
2019-06-08,Would not recommend,R vs Python: An Essay,5,Business
2019-11-28,OK,Secrets Of R For Advanced Students,5,Business
2019-11-15,it was okay,Secrets Of R For Advanced Students,3,Business
2019-02-01,Awesome!,Fundamentals of R For Beginners,1,Business
2019-04-18,I learned a lot,R For Dummies,5,Business
2019-05-09,Awesome!,Secrets Of R For Advanced Students,4,Business
2019-02-18,The author's other books were better,R For Dummies,4,Individual
2019-11-09,Awesome!,Fundamentals of R For Beginners,,Business
2019-05-19,Hated it,Fundamentals of R For Beginners,2,Business
2019-04-19,Hated it,R For Dummies,4,Business
2019-03-10,Hated it,Fundamentals of R For Beginners,2,Individual
2019-11-18,NA,R For Dummies,7,Individual
2019-03-16,I learned a lot,R vs Python: An Essay,3,Individual
2019-01-16,A lot of material was not needed,R For Dummies,6,Business
2019-12-16,,R For Dummies,5,Business
2019-05-10,,Fundamentals of R For Beginners,1,Business
2019-08-22,Hated it,Fundamentals of R For Beginners,6,Business
2019-04-19,NA,Fundamentals of R For Beginners,4,Individual
2019-04-23,I learned a lot,Fundamentals of R For Beginners,2,Business
2019-03-11,Hated it,Fundamentals of R For Beginners,3,Individual
2019-10-12,The author's other books were better,R For Dummies,6,Individual
2019-11-21,NA,Fundamentals of R For Beginners,4,Business
2019-06-07,it was okay,R For Dummies,5,Business
2019-09-23,NA,Fundamentals of R For Beginners,4,Business
2019-06-25,The author's other books were better,Fundamentals of R For Beginners,5,Business
2019-07-06,A lot of material was not needed,R For Dummies,6,Business
2019-11-27,The author's other books were better,Secrets Of R For Advanced Students,3,Business
2019-10-22,NA,R vs Python: An Essay,1,Individual
2019-08-16,,R For Dummies,7,Individual
2019-03-12,The author's other books were better,R vs Python: An Essay,5,Individual
2019-04-25,Hated it,R For Dummies,2,Individual
2019-02-14,Awesome!,Secrets Of R For Advanced Students,1,Business
2019-08-17,Would not recommend,Fundamentals of R For Beginners,5,Individual
2019-01-03,NA,Fundamentals of R For Beginners,6,Business
2019-09-23,I learned a lot,R For Dummies,5,Business
2019-02-22,,Fundamentals of R For Beginners,8,Business
2019-09-25,I learned a lot,Fundamentals of R For Beginners,3,Business
2019-03-10,A lot of material was not needed,R For Dummies,,Business
2019-08-01,The author's other books were better,Fundamentals of R For Beginners,1,Business
2019-01-04,Never read a better book,R For Dummies,1,Business
2019-09-15,The author's other books were better,R vs Python: An Essay,1,Business
2019-03-28,Never read a better book,Fundamentals of R For Beginners,1,Individual
2019-12-15,OK,R For Dummies,1,Business
2019-06-24,Hated it,Secrets Of R For Advanced Students,2,Business
2019-05-31,it was okay,Secrets Of R For Advanced Students,7,Business
2019-02-20,,Secrets Of R For Advanced Students,,Business
2019-04-13,NA,R vs Python: An Essay,,Individual
2019-06-29,OK,R For Dummies,3,Business
2019-12-21,The author's other books were better,R vs Python: An Essay,2,Business
2019-08-12,NA,Fundamentals of R For Beginners,8,Business
2019-11-07,Awesome!,Fundamentals of R For Beginners,4,Individual
2019-03-07,,Fundamentals of R For Beginners,3,Individual
2019-09-15,OK,R For Dummies,2,Business
2019-01-19,it was okay,Secrets Of R For Advanced Students,2,Business
2019-07-27,Would not recommend,Fundamentals of R For Beginners,2,Individual
2019-04-11,Hated it,Fundamentals of R For Beginners,7,Individual
2019-05-06,Hated it,R For Dummies,4,Business
2019-01-02,NA,Secrets Of R For Advanced Students,2,Individual
2019-06-13,I learned a lot,Secrets Of R For Advanced Students,3,Business
